anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
production operations,production and operations,mechanics and production,0.9582816958427429,0.8609843850135803
geological engineering department,geomatics engineering department,geological sciences and geological engineering,0.9371803998947144,0.8904660940170288
policing studies,"criminology, sociology and policing",police studies,0.7891033887863159,0.9340198040008545
mnhn,immm,nrm,0.9388508796691895,0.9378882050514221
"development, agriculture and society",development and society,"agriculture, society and environment",0.8800191879272461,0.9011518359184265
school food,school nutrition,school feeding,0.9203677177429199,0.8887924551963806
chemical and physical applied,physical and chemical,chemical and physical,0.9124826192855835,0.9137640595436096
social work & social administration,social work and social administration,social work and social services,0.9959661364555359,0.9218956828117371
electronics and photonics research institute,nanoelectronics research institute,electronics and telecommunications research institute,0.8802351951599121,0.9282898902893066
radiation oncologist,radiation oncology,radiation and cellular oncology,0.9498893618583679,0.8925505876541138
energy economics group,energy economics,energy group,0.8341981172561646,0.8553467392921448
electric power,electric power supply,electricity and energy,0.9679412841796875,0.9297235608100891
"engineering, applied physics","applied physics, engineering",engineering and applied physics,0.9770440459251404,0.996006965637207
sigma educational center,educational sciences center,educational studies center,0.7651215195655823,0.7909431457519531
electronic information and artificial intelligence,information and artificial intelligence,artificial intelligence and informatics,0.9432870149612427,0.9147473573684692
information management systems,information system management,information management and information systems,0.9604746699333191,0.9723827838897705
"anatomy, cell biology and zoology","anatomy, physiology and cell biology","anatomy, cell biology and physiological sciences",0.9413803815841675,0.9469153881072998
knee surgery,joint surgery,bone and joint surgery,0.8960152268409729,0.8797389268875122
earth and space science and engineering,earth and space sciences,space science and engineering,0.9567165374755859,0.9587752223014832
electrical engineering - power systems,electrical power engineering,power electrical and electronic engineering,0.9636003375053406,0.9615517258644104
northern holy spirit center,and polar climate center,northern institute,0.6267444491386414,0.7043207883834839
engineering geodesy,geodesy engineering,transportation engineering and geodesy,0.9602698683738708,0.8996427059173584
camillo filho institute,carlos chagas filho biophysics institute,balseiro institute,0.793719470500946,0.7600834369659424
departamento de psicologia experimental,departamento de física experimental,departamento de psicología experimental,0.9086096286773682,0.9887580275535583
cardiothoracic and vascular surgery,cardiothoracic & vascular surgery,cardio vascular surgery,0.9983158111572266,0.9418841600418091
physical treatment,treatment,physical medicine,0.886329710483551,0.8924943804740906
greater manchester mental health nhs foundation trust,birmingham and solihull mental health nhs foundation trust,,0.8122577667236328,
public management and economics,public economics and management,public economics and administration,0.9888153076171875,0.941124677658081
ohs,uh,umss,0.8619089722633362,0.8592253923416138
chinese academy of fishery sciences,"yellow sea fisheries research institute, chinese academy of fishery sciences",,0.8765892386436462,
third xiangya hospital,second xiangya hospital,,0.8858927488327026,
dark cosmology centre,cosmology,key laboratory of dark matter and space astronomy,0.6227576732635498,0.7567247152328491
agricultural economics and business studies,economics and business studies,"agricultural economics, sociology and education",0.9120550155639648,0.907160758972168
china aerodynamics research and development center,chinese academy of sciences aerospace information research institute,aerospace research center,0.8386250734329224,0.7694315910339355
nanoenergy and nanosystems chinese academy of sciences,"beijing nanoenergy and nanosystems, chinese academy of sciences",,0.9535877108573914,
national posts and telecommunications,telecommunications and networks,national telecommunications,0.7835655808448792,0.8615223169326782
anatomical pathology,anatomy pathology,pathological analysis,0.9725073575973511,0.865412175655365
clinical research unit,clinical trials research unit,research unit of biomedicine and internal medicine,0.9497899413108826,0.8726249933242798
agriculture and biology,agricultural biology,agricultural and environmental biology,0.9748421907424927,0.946601152420044
baptist health south florida,mayo clinic florida,metro south health,0.7203425168991089,0.6536715626716614
cross-cultural and regional studies,intercultural studies,regional and international studies,0.8921366930007935,0.8854966163635254
hausdorff center for mathematics,center for mathematical sciences,center for mathematics research,0.7972478866577148,0.8013750910758972
center of innovation and technological development in computing,computer science and technological innovation,centre for development of advanced computing,0.8761677742004395,0.9017516374588013
"humanities, letters, cultural heritage, training sciences","humanistic studies. letters, cultural heritage, training sciences","human sciences, letters and arts",0.9592126607894897,0.9295225143432617
departamento de biodiversidad y biología experimental,departamento de bioingeniería,departamento de bioquímica y biología molecular,0.9239419102668762,0.9206736087799072
agriculture and animal sciences,agricultural and animal sciences,"agriculture, animal science",0.9882397651672363,0.9817965030670166
aerospace & mechanical engineering,aerospace and mechanical engineering,mechanical engineering & aeronautics,0.997573733329773,0.9517263174057007
"classics, ancient history, archaeology and egyptology","archaeology, classics, and egyptology",classical and near eastern archaeology,0.9449463486671448,0.8761312961578369
us geological survey western ecological research center,western ecological research center,center for research in environmental geography,0.8335822820663452,0.7921649813652039
marketing ulms,marketing,marketing communication,0.9175788164138794,0.8651546239852905
central salt and marine chemicals research institute csir,central electronics engineering research institute csir,csiro marine and atmospheric research,0.7988188862800598,0.7612722516059875
evidence generation,evidence,material analysis,0.8878598213195801,0.7074457406997681
